Section,指标,值,sku_lines,total_quantity,pn_no,order_count,line_count,mean_quantity,position_count,station_count,city_count,order_frequency,quantity_share,cum_share,abc_category,日期,订单数,月份,frequency_tier,matrix_segment,储位建议,拣选策略,路径规划建议,目标储位,象限,method,priority,value
数据质量报告,原始记录数,118914.0,,,,,,,,,,,,,,,,,,,,,,,,,,
数据质量报告,清洗后记录数,118914.0,,,,,,,,,,,,,,,,,,,,,,,,,,
数据质量报告,缺失值总数,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
数据质量报告,唯一订单数,1935.0,,,,,,,,,,,,,,,,,,,,,,,,,,
数据质量报告,唯一SKU数,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,12.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,13.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,11.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,18.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,25.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,10.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,13.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,36.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,19.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,
订单特征画像,,,21.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,1.0,02130043,1.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,4.0,02130050,1.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,2.0,02140177,1.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,1.0,02140244,1.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,2.0,02140258,1.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,4.0,02140310,4.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,1.0,02140311,1.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,308.0,02150023,1.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,4.0,02150028,3.0,,,,,,,,,,,,,,,,,,,,,,
SKU特征画像,,,,577.0,02150041,76.0,,,,,,,,,,,,,,,,,,,,,,
EIQ指标,,,,1.0,02130043,1.0,1.0,1.0,1.0,1.0,1.0,0.0005167958656330749,2.7764897950117585e-06,,,,,,,,,,,,,,,
EIQ指标,,,,4.0,02130050,1.0,1.0,4.0,1.0,1.0,1.0,0.0005167958656330749,1.1105959180047034e-05,,,,,,,,,,,,,,,
EIQ指标,,,,2.0,02140177,1.0,1.0,2.0,1.0,1.0,1.0,0.0005167958656330749,5.552979590023517e-06,,,,,,,,,,,,,,,
EIQ指标,,,,1.0,02140244,1.0,1.0,1.0,1.0,1.0,1.0,0.0005167958656330749,2.7764897950117585e-06,,,,,,,,,,,,,,,
EIQ指标,,,,2.0,02140258,1.0,1.0,2.0,1.0,1.0,1.0,0.0005167958656330749,5.552979590023517e-06,,,,,,,,,,,,,,,
EIQ指标,,,,4.0,02140310,4.0,4.0,1.0,4.0,1.0,4.0,0.0020671834625322996,1.1105959180047034e-05,,,,,,,,,,,,,,,
EIQ指标,,,,1.0,02140311,1.0,1.0,1.0,1.0,1.0,1.0,0.0005167958656330749,2.7764897950117585e-06,,,,,,,,,,,,,,,
EIQ指标,,,,308.0,02150023,1.0,1.0,308.0,1.0,1.0,1.0,0.0005167958656330749,0.0008551588568636216,,,,,,,,,,,,,,,
EIQ指标,,,,4.0,02150028,3.0,3.0,1.3333333333333333,2.0,1.0,3.0,0.0015503875968992248,1.1105959180047034e-05,,,,,,,,,,,,,,,
EIQ指标,,,,577.0,02150041,76.0,577.0,1.0,2.0,1.0,193.0,0.03927648578811369,0.0016020346117217846,,,,,,,,,,,,,,,
ABC分类,,,,34380.0,82241622-1,1759.0,8621.0,3.9879364342883656,3.0,1.0,318.0,0.9090439276485788,0.09545571915250425,0.09545571915250425,A,,,,,,,,,,,,,
ABC分类,,,,23744.0,82241689-1,1439.0,7324.0,3.2419442927362097,3.0,1.0,306.0,0.7436692506459949,0.0659249736927592,0.16138069284526343,A,,,,,,,,,,,,,
ABC分类,,,,21980.0,80262636,11.0,40.0,549.5,27.0,1.0,6.0,0.005684754521963824,0.061027245694358453,0.2224079385396219,A,,,,,,,,,,,,,
ABC分类,,,,15920.0,82230004,19.0,23.0,692.1739130434783,8.0,1.0,10.0,0.009819121447028423,0.04420171753658719,0.26660965607620907,A,,,,,,,,,,,,,
ABC分类,,,,13027.0,80275950,13.0,23.0,566.3913043478261,14.0,1.0,8.0,0.006718346253229974,0.03616933255961818,0.30277898863582725,A,,,,,,,,,,,,,
ABC分类,,,,10837.0,82178716-1,1043.0,4371.0,2.479295355753832,6.0,1.0,308.0,0.5390180878552971,0.030088819908542425,0.3328678085443697,A,,,,,,,,,,,,,
ABC分类,,,,9954.0,80275980,17.0,35.0,284.4,18.0,1.0,10.0,0.008785529715762274,0.027637179419547044,0.3605049879639167,A,,,,,,,,,,,,,
ABC分类,,,,9945.0,82172376-1,1.0,2.0,4972.5,2.0,1.0,1.0,0.0005167958656330749,0.027612191011391937,0.3881171789753087,A,,,,,,,,,,,,,
ABC分类,,,,9210.0,82194751-1,1626.0,8297.0,1.1100397734120766,8.0,1.0,314.0,0.8403100775193798,0.025571471012058294,0.413688649987367,A,,,,,,,,,,,,,
ABC分类,,,,8828.0,82225216,22.0,24.0,367.8333333333333,4.0,1.0,9.0,0.011369509043927648,0.024510851910363802,0.43819950189773077,A,,,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-16,21.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-17,23.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-18,15.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-19,9.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-21,41.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-22,34.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-23,26.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-24,23.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-25,6.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-26,3.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-27,7.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-28,3.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-29,3.0,,,,,,,,,,,
订单量趋势(日),,,,,,,,,,,,,,,,2017-03-30,7.0,,,,,,,,,,,
订单量趋势(月),,,,,,,,,,,,,,,,,565.0,2017-01,,,,,,,,,,
订单量趋势(月),,,,,,,,,,,,,,,,,640.0,2017-02,,,,,,,,,,
订单量趋势(月),,,,,,,,,,,,,,,,,730.0,2017-03,,,,,,,,,,
联合分析建议,,,,34380.0,82241622-1,1759.0,8621.0,3.9879364342883656,3.0,1.0,318.0,0.9090439276485788,0.09545571915250425,0.09545571915250425,A,,,,高频,高频高值,黄金拣选位,批量拣选,优先规划最短路径,,,,,
联合分析建议,,,,23744.0,82241689-1,1439.0,7324.0,3.2419442927362097,3.0,1.0,306.0,0.7436692506459949,0.0659249736927592,0.16138069284526343,A,,,,高频,高频高值,黄金拣选位,批量拣选,优先规划最短路径,,,,,
联合分析建议,,,,21980.0,80262636,11.0,40.0,549.5,27.0,1.0,6.0,0.005684754521963824,0.061027245694358453,0.2224079385396219,A,,,,高频,高频高值,黄金拣选位,批量拣选,优先规划最短路径,,,,,
联合分析建议,,,,15920.0,82230004,19.0,23.0,692.1739130434783,8.0,1.0,10.0,0.009819121447028423,0.04420171753658719,0.26660965607620907,A,,,,高频,高频高值,黄金拣选位,批量拣选,优先规划最短路径,,,,,
